File Name,Relative Path,Extension,Size (Bytes),Lines of Code
VenueHero.tsx,src/components/venues/VenueHero.tsx,.tsx,1391,32
VenueHeroLeadGen.tsx,src/components/venues/VenueHeroLeadGen.tsx,.tsx,6369,119
VideographerBenefits.tsx,src/components/videographers/VideographerBenefits.tsx,.tsx,2884,67
VideographerCategories.tsx,src/components/videographers/VideographerCategories.tsx,.tsx,3347,87
VideographerCostEstimator.tsx,src/components/videographers/VideographerCostEstimator.tsx,.tsx,15144,332
VideographerCTA.tsx,src/components/videographers/VideographerCTA.tsx,.tsx,3788,68
VideographerFeatured.tsx,src/components/videographers/VideographerFeatured.tsx,.tsx,10697,256
VideographerHero.tsx,src/components/videographers/VideographerHero.tsx,.tsx,5559,126
modules.ts,src/config/modules.ts,.ts,4213,128
navigation.config.ts,src/config/navigation.config.ts,.ts,2083,89
navigation.ts,src/config/navigation.ts,.ts,2030,91
DashboardContext.tsx,src/contexts/DashboardContext.tsx,.tsx,1969,64
TenantContext.tsx,src/contexts/TenantContext.tsx,.tsx,2018,68
auditLog.ts,src/lib/audit/auditLog.ts,.ts,2106,74
useAuditLog.ts,src/lib/audit/useAuditLog.ts,.ts,2165,75
featureFlags.ts,src/lib/flags/featureFlags.ts,.ts,1551,45
useFeatureFlag.ts,src/lib/flags/useFeatureFlag.ts,.ts,2333,70
useModules.ts,src/lib/modules/useModules.ts,.ts,3281,105
useNotifications.ts,src/lib/notifications/useNotifications.ts,.ts,5115,168
roles.ts,src/lib/rbac/roles.ts,.ts,1089,59
usePermission.ts,src/lib/rbac/usePermission.ts,.ts,1303,51
plans.ts,src/lib/subscriptions/plans.ts,.ts,2608,90
useSubscription.ts,src/lib/subscriptions/useSubscription.ts,.ts,1161,39
client.ts,src/lib/supabase/client.ts,.ts,212,9
middleware.ts,src/lib/supabase/middleware.ts,.ts,931,35
server.ts,src/lib/supabase/server.ts,.ts,790,30
utils.ts,src/lib/utils.ts,.ts,166,7
middleware.ts,src/middleware.ts,.ts,739,30
index.ts,src/types/index.ts,.ts,4513,102
supabase.ts,src/types/supabase.ts,.ts,51459,1784
cli-latest,supabase/.temp/cli-latest,,8,Binary
gotrue-version,supabase/.temp/gotrue-version,,8,Binary
linked-project.json,supabase/.temp/linked-project.json,.json,142,1
pooler-url,supabase/.temp/pooler-url,,97,Binary
postgres-version,supabase/.temp/postgres-version,,10,Binary
project-ref,supabase/.temp/project-ref,,20,Binary
rest-version,supabase/.temp/rest-version,,5,Binary
storage-migration,supabase/.temp/storage-migration,,33,Binary
storage-version,supabase/.temp/storage-version,,7,Binary
config.toml,supabase/config.toml,.toml,15493,Binary
20260607000001_base_schema.sql,supabase/migrations/20260607000001_base_schema.sql,.sql,5474,125
20260607000002_modules_subscriptions.sql,supabase/migrations/20260607000002_modules_subscriptions.sql,.sql,3542,75
20260607000003_features_logging.sql,supabase/migrations/20260607000003_features_logging.sql,.sql,3391,77
20260607000004_messaging.sql,supabase/migrations/20260607000004_messaging.sql,.sql,3128,71
20260607000005_storage_buckets.sql,supabase/migrations/20260607000005_storage_buckets.sql,.sql,2631,34
20260607000006_branches_venues.sql,supabase/migrations/20260607000006_branches_venues.sql,.sql,2459,59
20260607000007_crm_events.sql,supabase/migrations/20260607000007_crm_events.sql,.sql,4766,112
20260607000008_workforce_dependencies.sql,supabase/migrations/20260607000008_workforce_dependencies.sql,.sql,2191,50
20260607000009_rooms_bookings.sql,supabase/migrations/20260607000009_rooms_bookings.sql,.sql,1773,39
20260607000010_dev_public_read_testing.sql,supabase/migrations/20260607000010_dev_public_read_testing.sql,.sql,442,7
20260607000011_fix_rls_recursion.sql,supabase/migrations/20260607000011_fix_rls_recursion.sql,.sql,456,11
20260607000012_leads_additions.sql,supabase/migrations/20260607000012_leads_additions.sql,.sql,682,14
20260607000013_events_bookings_public_mutations.sql,supabase/migrations/20260607000013_events_bookings_public_mutations.sql,.sql,578,9
20260607000014_payments_table.sql,supabase/migrations/20260607000014_payments_table.sql,.sql,1296,29
20260607000015_tasks_table.sql,supabase/migrations/20260607000015_tasks_table.sql,.sql,1515,32
20260607000016_settings_public_mutations.sql,supabase/migrations/20260607000016_settings_public_mutations.sql,.sql,562,9
20260607000017_customers_public_mutations.sql,supabase/migrations/20260607000017_customers_public_mutations.sql,.sql,841,11
20260607000018_unified_contacts.sql,supabase/migrations/20260607000018_unified_contacts.sql,.sql,2492,42
20260607000019_dynamic_contacts.sql,supabase/migrations/20260607000019_dynamic_contacts.sql,.sql,335,9
20260607000020_multiple_bank_accounts.sql,supabase/migrations/20260607000020_multiple_bank_accounts.sql,.sql,199,6
20260607000021_add_gst_number.sql,supabase/migrations/20260607000021_add_gst_number.sql,.sql,156,6
20260607000022_link_conversations_to_contacts.sql,supabase/migrations/20260607000022_link_conversations_to_contacts.sql,.sql,250,6
20260607000023_create_products_module.sql,supabase/migrations/20260607000023_create_products_module.sql,.sql,2206,65
20260607000023_fix_messaging_rls.sql,supabase/migrations/20260607000023_fix_messaging_rls.sql,.sql,719,12
20260607000024_add_show_on_public_profile_to_products.sql,supabase/migrations/20260607000024_add_show_on_public_profile_to_products.sql,.sql,108,2
20260607000024_products_public_mutations.sql,supabase/migrations/20260607000024_products_public_mutations.sql,.sql,833,11
20260607000025_product_marketing_fields.sql,supabase/migrations/20260607000025_product_marketing_fields.sql,.sql,273,6
seed_crm_data.sql,supabase/seed_crm_data.sql,.sql,947,13
seed_mock_data.sql,supabase/seed_mock_data.sql,.sql,2216,39
test_query.js,test_query.js,.js,571,20
tsconfig.json,tsconfig.json,.json,670,35
tsconfig.tsbuildinfo,tsconfig.tsbuildinfo,.tsbuildinfo,267363,Binary
ui-registry.md,ui-registry.md,.md,7433,111
ui-rules.md,ui-rules.md,.md,2488,35
ui-tokens.md,ui-tokens.md,.md,2227,44
