File Name,Relative Path,Extension,Size (Bytes),Lines of Code
page.tsx,src/app/dashboard/[role]/[moduleId]/page.tsx,.tsx,903,29
page.tsx,src/app/decorators/page.tsx,.tsx,1301,35
EventManagerHero.tsx,src/app/event-managers/EventManagerHero.tsx,.tsx,5540,125
page.tsx,src/app/event-managers/page.tsx,.tsx,1382,35
favicon.ico,src/app/favicon.ico,.ico,25931,Binary
page.tsx,src/app/freelancers/page.tsx,.tsx,1309,35
globals.css,src/app/globals.css,.css,3141,133
useResponsive.ts,src/app/hooks/useResponsive.ts,.ts,781,25
page.tsx,src/app/invite/[id]/page.tsx,.tsx,221,7
ClientProviders.tsx,src/app/layout/ClientProviders.tsx,.tsx,346,13
Header.tsx,src/app/layout/Header.tsx,.tsx,1151,31
MainLayout.tsx,src/app/layout/MainLayout.tsx,.tsx,1124,40
MobileNav.tsx,src/app/layout/MobileNav.tsx,.tsx,2359,69
Sidebar.tsx,src/app/layout/Sidebar.tsx,.tsx,1979,43
layout.tsx,src/app/layout.tsx,.tsx,1056,40
page.tsx,src/app/messages/page.tsx,.tsx,219,12
navigation.config.ts,src/app/navigation/navigation.config.ts,.ts,974,36
page.tsx,src/app/onboarding/page.tsx,.tsx,17431,371
page.tsx,src/app/page.tsx,.tsx,345,13
page.tsx,src/app/photographers/page.tsx,.tsx,1376,35
page.tsx,src/app/photographers/[id]/page.tsx,.tsx,38114,829
actions.ts,src/app/portal/actions.ts,.ts,2739,94
page.tsx,src/app/portal/page.tsx,.tsx,3005,68
page.tsx,src/app/portal/[eventId]/page.tsx,.tsx,6722,135
page.tsx,src/app/register/page.tsx,.tsx,112,6
page.tsx,src/app/rentals/page.tsx,.tsx,315,13
page.tsx,src/app/restaurants/page.tsx,.tsx,1330,35
page.tsx,src/app/search/page.tsx,.tsx,3718,87
page.tsx,src/app/sign-in/[[...sign-in]]/page.tsx,.tsx,207,10
page.tsx,src/app/sign-up/[[...sign-up]]/page.tsx,.tsx,207,10
page.tsx,src/app/studios/page.tsx,.tsx,1231,35
page.tsx,src/app/test/page.tsx,.tsx,274,8
page.tsx,src/app/tools/baraat-tracker/page.tsx,.tsx,359,13
page.tsx,src/app/tools/daig-calculator/page.tsx,.tsx,329,13
page.tsx,src/app/tools/jahaiz-tracker/page.tsx,.tsx,325,13
page.tsx,src/app/tools/mehndi-designer/page.tsx,.tsx,310,13
page.tsx,src/app/tools/shaadi-beats/page.tsx,.tsx,317,13
page.tsx,src/app/vendors/page.tsx,.tsx,980,29
page.tsx,src/app/venues/page.tsx,.tsx,1374,33
page.tsx,src/app/videographers/page.tsx,.tsx,1376,35
PageEntrance.tsx,src/components/animations/PageEntrance.tsx,.tsx,1036,39
BusinessCTA.tsx,src/components/business/BusinessCTA.tsx,.tsx,3295,78
BusinessHero.tsx,src/components/business/BusinessHero.tsx,.tsx,4270,77
ModuleDeepDive.tsx,src/components/business/ModuleDeepDive.tsx,.tsx,7190,171
TargetAudienceGrid.tsx,src/components/business/TargetAudienceGrid.tsx,.tsx,3558,104
CatererBenefits.tsx,src/components/caterers/CatererBenefits.tsx,.tsx,2887,67
CatererCategories.tsx,src/components/caterers/CatererCategories.tsx,.tsx,3238,87
CatererCTA.tsx,src/components/caterers/CatererCTA.tsx,.tsx,3803,68
CatererFeatured.tsx,src/components/caterers/CatererFeatured.tsx,.tsx,10893,261
CatererHero.tsx,src/components/caterers/CatererHero.tsx,.tsx,5482,125
CatererMenuEstimator.tsx,src/components/caterers/CatererMenuEstimator.tsx,.tsx,17053,347
NexusChat.tsx,src/components/chat/NexusChat.tsx,.tsx,10400,235
ClientProviders.tsx,src/components/ClientProviders.tsx,.tsx,867,39
GeneralLedgerAccounting.tsx,src/components/dashboard/accounting/GeneralLedgerAccounting.tsx,.tsx,8703,203
EventCalendar.tsx,src/components/dashboard/calendar/EventCalendar.tsx,.tsx,11367,249
VerifiedCommunicationsTerminal.tsx,src/components/dashboard/communications/VerifiedCommunicationsTerminal.tsx,.tsx,12869,308
